Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -151.49960327148438, 5.8080644607543945, 166.21424865722656, -259.6275939941406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088678555691E9, 2021-05-21 16:54:27.855
1.0, -133.46954345703125, 18.43396759033203, 186.34239196777344, -246.87078857421875, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621608867868873E9, 2021-05-21 16:54:27.868
1.0, -105.07623291015625, 57.88243103027344, 223.44967651367188, -212.7329864501953, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621608867868873E9, 2021-05-21 16:54:27.868
2.0, -123.28954315185547, 42.97145080566406, 207.31948852539062, -221.83216857910156, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088678854823E9, 2021-05-21 16:54:27.885
2.0, -152.9245147705078, 2.9021623134613037, 168.050537109375, -245.52816772460938, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088678854823E9, 2021-05-21 16:54:27.885
3.0, -132.80758666992188, 16.451820373535156, 188.71348571777344, -229.12496948242188, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621608867886191E9, 2021-05-21 16:54:27.886
3.0, -102.79115295410156, 46.10922622680664, 210.7078399658203, -203.21868896484375, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621608867886191E9, 2021-05-21 16:54:27.886
4.0, -121.87211608886719, 22.57403564453125, 190.36651611328125, -218.76918029785156, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088678987415E9, 2021-05-21 16:54:27.898
4.0, -152.6627197265625, -11.354336738586426, 153.69679260253906, -244.83255004882812, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088678987415E9, 2021-05-21 16:54:27.898
5.0, -135.47413635253906, 9.1814546585083, 168.3871307373047, -239.6527862548828, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088679142175E9, 2021-05-21 16:54:27.914
5.0, -102.16658782958984, 37.74306869506836, 208.27316284179688, -207.66168212890625, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088679142175E9, 2021-05-21 16:54:27.914
6.0, -117.98262023925781, 26.048402786254883, 195.36302185058594, -219.87620544433594, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.62160886791493E9, 2021-05-21 16:54:27.914
6.0, -147.98036193847656, -6.743039608001709, 162.05921936035156, -247.88430786132812, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.62160886791493E9, 2021-05-21 16:54:27.914
7.0, -129.06768798828125, 16.309703826904297, 177.31800842285156, -236.11859130859375, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621608867928579E9, 2021-05-21 16:54:27.928
7.0, -98.13497161865234, 54.733436584472656, 216.77395629882812, -212.0635528564453, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621608867928579E9, 2021-05-21 16:54:27.928
8.0, -113.78645324707031, 32.78022384643555, 198.30258178710938, -229.53262329101562, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088679598272E9, 2021-05-21 16:54:27.959
8.0, -146.45822143554688, 7.879969120025635, 172.89370727539062, -255.9288330078125, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088679598272E9, 2021-05-21 16:54:27.959
9.0, -129.8081817626953, 21.343608856201172, 191.84751892089844, -240.6663055419922, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088679753618E9, 2021-05-21 16:54:27.975
9.0, -98.25091552734375, 45.8399543762207, 230.17401123046875, -219.98838806152344, 0.03200000151991844, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088679753618E9, 2021-05-21 16:54:27.975
10.0, -113.40498352050781, 33.531944274902344, 210.98085021972656, -231.4773712158203, 0.03200000151991844, -0.01600000075995922, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6216088679760795E9, 2021-05-21 16:54:27.976
