Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -149.79421997070312, -199.31796264648438, 258.6178283691406, 176.75889587402344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893393428E9, 2021-05-14 14:48:09.339
1.0, -129.4342041015625, -188.6816864013672, 273.68212890625, 190.9293670654297, 0.0, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893527145E9, 2021-05-14 14:48:09.352
1.0, -132.9459686279297, -191.38563537597656, 254.91531372070312, 180.5062713623047, 0.0, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893527145E9, 2021-05-14 14:48:09.352
2.0, -151.15553283691406, -199.7144012451172, 243.1234130859375, 160.60626220703125, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893691938E9, 2021-05-14 14:48:09.369
2.0, -151.52952575683594, -195.8623046875, 251.49331665039062, 182.08450317382812, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893691938E9, 2021-05-14 14:48:09.369
3.0, -134.5952606201172, -192.0775146484375, 265.5815124511719, 191.35572814941406, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893700695E9, 2021-05-14 14:48:09.370
3.0, -154.0913543701172, -197.21987915039062, 260.394287109375, 178.46803283691406, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893700695E9, 2021-05-14 14:48:09.370
4.0, -151.77261352539062, -196.8346710205078, 254.34310913085938, 171.26498413085938, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893825085E9, 2021-05-14 14:48:09.382
4.0, -159.8732452392578, -201.95834350585938, 257.6304931640625, 177.1141815185547, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893825085E9, 2021-05-14 14:48:09.382
5.0, -138.22669982910156, -186.56117248535156, 266.28460693359375, 188.6143798828125, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893981311E9, 2021-05-14 14:48:09.398
5.0, -152.76368713378906, -183.19900512695312, 260.7159118652344, 179.1449432373047, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964893981311E9, 2021-05-14 14:48:09.398
6.0, -158.79615783691406, -197.87062072753906, 245.29629516601562, 165.44195556640625, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996489398831E9, 2021-05-14 14:48:09.398
6.0, -153.83705139160156, -191.78955078125, 253.5577392578125, 167.64102172851562, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996489398831E9, 2021-05-14 14:48:09.398
7.0, -141.71603393554688, -185.39805603027344, 260.70843505859375, 188.40867614746094, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996489412323E9, 2021-05-14 14:48:09.412
7.0, -142.7482452392578, -181.9087371826172, 260.6485900878906, 178.8233184814453, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996489412323E9, 2021-05-14 14:48:09.412
8.0, -154.734619140625, -204.4977264404297, 253.0790252685547, 161.32058715820312, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964894451132E9, 2021-05-14 14:48:09.445
8.0, -142.41539001464844, -191.46043395996094, 262.8139953613281, 164.4022674560547, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209964894451132E9, 2021-05-14 14:48:09.445
9.0, -134.23623657226562, -179.4591064453125, 272.8967590332031, 187.0511016845703, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996489445818E9, 2021-05-14 14:48:09.445
9.0, -141.71229553222656, -190.33473205566406, 264.7624816894531, 171.20887756347656, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996489445818E9, 2021-05-14 14:48:09.445
