Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -57.169979095458984, 238.65611267089844, -28.387710571289062, 23.095752716064453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864414155E9, 2021-05-24 11:28:06.441
1.0, -64.7096176147461, 234.6544189453125, -31.925655364990234, 11.988249778747559, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864549289E9, 2021-05-24 11:28:06.454
1.0, -68.505615234375, 229.85238647460938, -30.7288875579834, 11.14303207397461, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864549289E9, 2021-05-24 11:28:06.454
2.0, -61.706478118896484, 232.8256072998047, -24.6253719329834, 17.624279022216797, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864876263E9, 2021-05-24 11:28:06.487
2.0, -61.190372467041016, 239.5648956298828, -23.709095001220703, 17.175491333007812, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864876263E9, 2021-05-24 11:28:06.487
3.0, -67.16673278808594, 243.005615234375, -24.909603118896484, 13.30095386505127, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864883196E9, 2021-05-24 11:28:06.488
3.0, -67.60803985595703, 239.7406768798828, -27.609811782836914, 12.612812995910645, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864883196E9, 2021-05-24 11:28:06.488
4.0, -66.9161605834961, 238.1960906982422, -24.281299591064453, 19.131458282470703, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864890661E9, 2021-05-24 11:28:06.489
4.0, -55.98069381713867, 241.8873748779297, -18.85844612121582, 20.410503387451172, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484864890661E9, 2021-05-24 11:28:06.489
5.0, -62.36844253540039, 240.1595458984375, -27.564931869506836, 9.729350090026855, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865002263E9, 2021-05-24 11:28:06.500
5.0, -63.25105667114258, 238.11007690429688, -28.189495086669922, 10.331473350524902, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865002263E9, 2021-05-24 11:28:06.500
6.0, -62.49933624267578, 236.9806365966797, -33.78812789916992, 19.161376953125, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865009882E9, 2021-05-24 11:28:06.500
6.0, -53.654476165771484, 242.9532470703125, -25.37335205078125, 15.960022926330566, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865009882E9, 2021-05-24 11:28:06.500
7.0, -60.98468017578125, 241.1020050048828, -23.45852279663086, 13.87315845489502, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621848486514678E9, 2021-05-24 11:28:06.514
7.0, -68.165283203125, 236.49818420410156, -34.77172088623047, 6.494336128234863, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621848486514678E9, 2021-05-24 11:28:06.514
8.0, -54.62310791015625, 244.5352325439453, -20.40676498413086, 24.382278442382812, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865302577E9, 2021-05-24 11:28:06.530
8.0, -53.31040573120117, 245.82174682617188, -21.588571548461914, 26.091411590576172, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865302577E9, 2021-05-24 11:28:06.530
9.0, -56.10411071777344, 245.2458038330078, -24.40471649169922, 21.184663772583008, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621848486530979E9, 2021-05-24 11:28:06.530
9.0, -65.36410522460938, 235.05458068847656, -32.452980041503906, 13.861939430236816, 0.04800000041723251, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621848486530979E9, 2021-05-24 11:28:06.530
10.0, -63.1351203918457, 235.200439453125, -25.253673553466797, 24.457075119018555, 0.04800000041723251, -0.01600000075995922, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865447323E9, 2021-05-24 11:28:06.544
10.0, -53.72179412841797, 237.88194274902344, -20.24220848083496, 23.43608283996582, 0.04800000041723251, -0.01600000075995922, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865447323E9, 2021-05-24 11:28:06.544
11.0, -61.6279411315918, 239.1011505126953, -26.166210174560547, 17.88981056213379, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621848486560099E9, 2021-05-24 11:28:06.560
11.0, -71.54989624023438, 238.13999938964844, -32.90924835205078, 6.778568744659424, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621848486560099E9, 2021-05-24 11:28:06.560
12.0, -65.3902816772461, 240.43255615234375, -25.975475311279297, 16.3153133392334, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865752623E9, 2021-05-24 11:28:06.575
12.0, -64.18603515625, 252.4638214111328, -18.462017059326172, 18.390958786010742, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865752623E9, 2021-05-24 11:28:06.575
13.0, -67.74267578125, 251.10997009277344, -18.237621307373047, 5.720177173614502, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865759728E9, 2021-05-24 11:28:06.575
13.0, -74.36229705810547, 241.5994110107422, -32.20615005493164, 8.285748481750488, 0.04800000041723251, 0.0, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218484865759728E9, 2021-05-24 11:28:06.575
