Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, 455.828369140625, -1140.2132568359375, 507.033203125, 360.7339172363281, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349479298E9, 2021-05-05 15:12:29.479
1.0, 437.4991149902344, -1123.8624267578125, 507.280029296875, 374.65008544921875, 0.0, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203494800584E9, 2021-05-05 15:12:29.480
1.0, 452.8065185546875, -1122.27294921875, 516.1323852539062, 373.913330078125, 0.0, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203494800584E9, 2021-05-05 15:12:29.480
2.0, 438.2209167480469, -1131.028076171875, 515.6275024414062, 366.9234619140625, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203494808097E9, 2021-05-05 15:12:29.480
2.0, 436.4444580078125, -1136.723876953125, 510.1859436035156, 366.2764587402344, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203494808097E9, 2021-05-05 15:12:29.480
3.0, 453.3936767578125, -1121.2481689453125, 522.3069458007812, 371.1158752441406, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349509756E9, 2021-05-05 15:12:29.509
3.0, 445.0499572753906, -1126.3045654296875, 518.8363037109375, 365.861328125, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349509756E9, 2021-05-05 15:12:29.509
4.0, 440.7565612792969, -1136.1778564453125, 525.2352905273438, 358.1421813964844, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495104313E9, 2021-05-05 15:12:29.510
4.0, 424.86572265625, -1130.2874755859375, 518.2865600585938, 354.1778869628906, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495104313E9, 2021-05-05 15:12:29.510
5.0, 444.7507629394531, -1118.1141357421875, 519.05322265625, 364.428955078125, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495111663E9, 2021-05-05 15:12:29.511
5.0, 450.6448669433594, -1120.863037109375, 527.4493408203125, 356.3544921875, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495111663E9, 2021-05-05 15:12:29.511
6.0, 426.2345275878906, -1143.39208984375, 515.2011108398438, 340.78155517578125, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495233235E9, 2021-05-05 15:12:29.523
6.0, 431.85186767578125, -1131.1103515625, 514.7411499023438, 347.7938537597656, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495233235E9, 2021-05-05 15:12:29.523
7.0, 440.5172119140625, -1120.279541015625, 521.330810546875, 358.63958740234375, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495240424E9, 2021-05-05 15:12:29.524
7.0, 434.2341613769531, -1118.046875, 529.300537109375, 348.9906311035156, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495240424E9, 2021-05-05 15:12:29.524
8.0, 418.010498046875, -1135.680419921875, 527.9990844726562, 343.1713562011719, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349524964E9, 2021-05-05 15:12:29.524
8.0, 428.9721374511719, -1127.2694091796875, 529.158447265625, 344.8094177246094, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349524964E9, 2021-05-05 15:12:29.524
9.0, 445.2818298339844, -1114.10498046875, 535.8042602539062, 350.62872314453125, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495256405E9, 2021-05-05 15:12:29.525
9.0, 436.72869873046875, -1129.8612060546875, 539.3384399414062, 345.4339904785156, -0.1600000113248825, 0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495256405E9, 2021-05-05 15:12:29.525
10.0, 413.1224365234375, -1144.6412353515625, 534.5888061523438, 333.4476013183594, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349536242E9, 2021-05-05 15:12:29.536
10.0, 416.4808654785156, -1139.094970703125, 525.5868530273438, 328.1182556152344, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349536242E9, 2021-05-05 15:12:29.536
11.0, 438.03765869140625, -1125.395751953125, 534.1549682617188, 336.4656982421875, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349569028E9, 2021-05-05 15:12:29.569
11.0, 430.73736572265625, -1127.1160888671875, 532.9095458984375, 331.65618896484375, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620220349569028E9, 2021-05-05 15:12:29.569
12.0, 423.0892639160156, -1136.3648681640625, 529.3604125976562, 319.486572265625, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495697722E9, 2021-05-05 15:12:29.569
12.0, 429.2301940917969, -1136.83984375, 530.026123046875, 321.43878173828125, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495697722E9, 2021-05-05 15:12:29.569
13.0, 435.7825012207031, -1122.2691650390625, 532.4308471679688, 326.95513916015625, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495704997E9, 2021-05-05 15:12:29.570
13.0, 417.33355712890625, -1132.9053955078125, 526.2338256835938, 319.1051025390625, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495704997E9, 2021-05-05 15:12:29.570
14.0, 413.5787048339844, -1141.312744140625, 521.3196411132812, 305.93316650390625, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495712223E9, 2021-05-05 15:12:29.571
14.0, 417.8721008300781, -1137.3297119140625, 522.4191284179688, 313.6261291503906, -0.1600000113248825, 0.08000000566244125, 1.040000081062317, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6202203495712223E9, 2021-05-05 15:12:29.571
