Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, 144.61257934570312, 155.9295196533203, 317.22393798828125, -209.0865936279297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.62031267447758E9, 2021-05-06 16:51:14.477
1.0, 144.39566040039062, 166.0496826171875, 312.6986389160156, -199.9649658203125, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620312674491013E9, 2021-05-06 16:51:14.491
1.0, 164.71453857421875, 166.5657958984375, 317.5455627441406, -198.45779418945312, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620312674491013E9, 2021-05-06 16:51:14.491
2.0, 137.04302978515625, 160.10699462890625, 323.0245056152344, -198.67469787597656, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203126745075793E9, 2021-05-06 16:51:14.507
2.0, 147.81019592285156, 155.832275390625, 319.88671875, -207.08200073242188, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203126745075793E9, 2021-05-06 16:51:14.507
3.0, 153.57337951660156, 160.89236450195312, 307.2757873535156, -199.94253540039062, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203126745083392E9, 2021-05-06 16:51:14.508
3.0, 156.84579467773438, 160.2977294921875, 314.2581787109375, -194.39251708984375, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203126745083392E9, 2021-05-06 16:51:14.508
4.0, 159.20567321777344, 152.00262451171875, 318.4169616699219, -200.15943908691406, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203126745378528E9, 2021-05-06 16:51:14.537
4.0, 152.3167724609375, 151.7744903564453, 309.968505859375, -203.1139678955078, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6203126745378528E9, 2021-05-06 16:51:14.537
5.0, 156.84579467773438, 156.61392211914062, 310.3275451660156, -201.51329040527344, 0.0, 0.03200000151991844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.62031267453858E9, 2021-05-06 16:51:14.538
