Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -133.1516571044922, -142.4434356689453, 245.2383270263672, 151.33505249023438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962254793544E9, 2021-05-14 14:43:45.479
1.0, -158.0406951904297, -151.0863494873047, 242.85975646972656, 150.94984436035156, 0.0, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962254927113E9, 2021-05-14 14:43:45.492
1.0, -158.40345764160156, -143.99549865722656, 237.4032440185547, 147.5315704345703, 0.0, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962254927113E9, 2021-05-14 14:43:45.492
2.0, -148.98638916015625, -136.51943969726562, 241.37501525878906, 154.24095153808594, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255094101E9, 2021-05-14 14:43:45.509
2.0, -127.29497528076172, -132.44668579101562, 252.46755981445312, 167.86166381835938, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255094101E9, 2021-05-14 14:43:45.509
3.0, -152.98434448242188, -144.58265686035156, 241.35256958007812, 154.54388427734375, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255100718E9, 2021-05-14 14:43:45.510
3.0, -149.90640258789062, -140.39398193359375, 235.99703979492188, 151.06204223632812, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255100718E9, 2021-05-14 14:43:45.510
4.0, -144.15818786621094, -138.64370727539062, 247.31771850585938, 165.9692840576172, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255224562E9, 2021-05-14 14:43:45.522
4.0, -148.64605712890625, -132.96279907226562, 257.9465026855469, 173.8193359375, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255224562E9, 2021-05-14 14:43:45.522
5.0, -145.0782012939453, -139.75445556640625, 247.5047149658203, 155.5424346923828, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255383077E9, 2021-05-14 14:43:45.538
5.0, -162.1171875, -148.5955810546875, 237.47055053710938, 138.888671875, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255383077E9, 2021-05-14 14:43:45.538
6.0, -143.82533264160156, -135.30770874023438, 253.23797607421875, 159.41697692871094, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255389733E9, 2021-05-14 14:43:45.538
6.0, -127.61660766601562, -143.5055694580078, 256.6749572753906, 169.6119384765625, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255389733E9, 2021-05-14 14:43:45.538
7.0, -154.45787048339844, -150.23365783691406, 245.06256103515625, 153.96420288085938, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255525427E9, 2021-05-14 14:43:45.552
7.0, -159.15892028808594, -148.9284210205078, 237.42567443847656, 150.65065002441406, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255525427E9, 2021-05-14 14:43:45.552
8.0, -139.2963104248047, -140.99609375, 249.67759704589844, 157.12442016601562, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996225568197E9, 2021-05-14 14:43:45.568
8.0, -134.1389923095703, -136.54562377929688, 255.4333038330078, 166.612548828125, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996225568197E9, 2021-05-14 14:43:45.568
9.0, -147.64002990722656, -143.49435424804688, 251.13241577148438, 157.0384063720703, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255689733E9, 2021-05-14 14:43:45.568
9.0, -151.18919372558594, -152.90768432617188, 238.19984436035156, 146.3011474609375, 0.03200000151991844, -0.04800000041723251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6209962255689733E9, 2021-05-14 14:43:45.568
10.0, -130.7843017578125, -135.80885314941406, 253.6082305908203, 163.2877655029297, 0.03200000151991844, -0.04800000041723251, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996225582654E9, 2021-05-14 14:43:45.582
10.0, -132.5719757080078, -138.39312744140625, 259.07220458984375, 170.01585388183594, 0.03200000151991844, -0.04800000041723251, 1.055999994277954, 0.0, 0.0, 0.0, 0.0, 0.0, 1.620996225582654E9, 2021-05-14 14:43:45.582
