Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
0.0, -161.4402618408203, -53.27861404418945, 125.69055938720703, 39.33252716064453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300092397E9, 2021-05-24 14:47:10.009
1.0, -235.6136932373047, -102.18528747558594, 54.56513977050781, -17.173620223999023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300224695E9, 2021-05-24 14:47:10.022
1.0, -188.83502197265625, -89.80247497558594, 94.5521469116211, 6.462547302246094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300224695E9, 2021-05-24 14:47:10.022
2.0, -106.38893127441406, -15.939454078674316, 185.23724365234375, 84.96678924560547, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621860430054288E9, 2021-05-24 14:47:10.054
2.0, -161.38790893554688, -44.179439544677734, 137.6881561279297, 48.61869812011719, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621860430054288E9, 2021-05-24 14:47:10.054
3.0, -236.1709442138672, -102.0581283569336, 60.48914337158203, -20.726526260375977, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300550044E9, 2021-05-24 14:47:10.055
3.0, -193.0162353515625, -78.63139343261719, 98.6660385131836, 8.104363441467285, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300550044E9, 2021-05-24 14:47:10.055
4.0, -106.6357650756836, -6.31295108795166, 178.28477478027344, 80.17597198486328, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300557628E9, 2021-05-24 14:47:10.055
4.0, -161.45147705078125, -39.52326202392578, 132.91604614257812, 44.684326171875, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300557628E9, 2021-05-24 14:47:10.055
5.0, -239.091796875, -95.96208953857422, 52.063148498535156, -22.443140029907227, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300565937E9, 2021-05-24 14:47:10.056
5.0, -195.0956268310547, -85.58760833740234, 91.38445281982422, -1.54831862449646, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300565937E9, 2021-05-24 14:47:10.056
6.0, -106.22811889648438, -7.3526434898376465, 180.9475860595703, 79.78328704833984, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300673063E9, 2021-05-24 14:47:10.067
6.0, -161.82920837402344, -50.69434356689453, 124.65460205078125, 42.96023178100586, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300673063E9, 2021-05-24 14:47:10.067
7.0, -234.98165893554688, -90.81224822998047, 53.39455032348633, -17.858022689819336, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300822728E9, 2021-05-24 14:47:10.082
7.0, -185.4840850830078, -81.70559692382812, 91.54153442382812, 4.738453388214111, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604300822728E9, 2021-05-24 14:47:10.082
8.0, -105.86534881591797, -11.41043472290039, 179.21974182128906, 81.0997314453125, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604301144807E9, 2021-05-24 14:47:10.114
8.0, -153.56028747558594, -45.49214172363281, 126.45723724365234, 42.41420364379883, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604301144807E9, 2021-05-24 14:47:10.114
9.0, -233.14161682128906, -102.0618667602539, 51.30768585205078, -20.558229446411133, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604301152084E9, 2021-05-24 14:47:10.115
9.0, -190.9705047607422, -79.60376739501953, 89.92963409423828, 0.45252788066864014, -0.08000000566244125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6218604301152084E9, 2021-05-24 14:47:10.115
